,open,high,low,close,volume,date_parsed,cont_len,cont_pol,cont_sent
0,1358.98,1374.71,1358.98,1368.7,593003200,2012-04-11,108.14285714285714,0.011904761904761902,Positive
1,1368.77,1388.13,1368.77,1387.56,547368832,2012-04-12,75.0,0.11287878787878787,Positive
2,1387.61,1387.61,1369.85,1370.26,631237824,2012-04-13,73.0,0.0,Neutral
3,1370.27,1379.66,1365.38,1369.57,596952128,2012-04-16,188.5,0.6642857142857143,Positive
4,1369.57,1392.76,1369.57,1390.78,566529216,2012-04-17,235.52941176470588,0.10216678338001865,Positive
5,1385.08,1390.46,1370.3,1376.92,676165120,2012-04-19,93.5,-0.2,Negative
6,1376.96,1387.4,1376.96,1378.53,887960832,2012-04-20,52.0,0.6,Positive
7,1378.53,1378.53,1358.79,1366.94,642154880,2012-04-23,199.0,-0.011327777777777782,Negative
8,1366.97,1375.57,1366.82,1371.97,617978304,2012-04-24,146.6153846153846,0.01442307692307693,Positive
9,1372.11,1391.37,1372.11,1390.69,641079296,2012-04-25,150.2962962962963,0.10702674897119341,Positive
10,1390.64,1402.09,1387.28,1399.98,599315072,2012-04-26,129.15,0.11699553571428574,Positive
11,1400.19,1406.64,1397.31,1403.36,582286784,2012-04-27,121.45454545454545,0.0908008658008658,Positive
12,1403.26,1403.26,1394.0,1397.91,614539008,2012-04-30,194.5,0.16721566358024692,Positive
13,1397.86,1415.32,1395.73,1405.82,573667392,2012-05-01,303.2105263157895,0.17065472839853643,Positive
14,1405.5,1405.5,1393.92,1402.31,554809216,2012-05-02,217.21428571428572,0.08813865904267691,Positive
15,1402.32,1403.07,1388.71,1391.57,589986496,2012-05-03,188.16666666666666,0.060121400944105,Positive
16,1391.51,1391.51,1367.96,1369.1,596064384,2012-05-04,183.7,0.018290079365079363,Positive
17,1368.79,1373.91,1363.94,1369.58,586001024,2012-05-07,261.7586206896552,0.09929172086807551,Positive
18,1369.16,1369.16,1347.75,1363.72,690165824,2012-05-08,154.83157894736843,0.08301879981790695,Positive
