,open,high,low,close,volume,date_parsed,cont_len,cont_pol,cont_sent,date_year,date_month,date_day,sent_neg,sent_neu,sent_pos,target_variable
0,1358.98,1374.71,1358.98,1368.7,593003200.0,2012-04-11,108.14285714285714,0.01,Positive,2012,4,11,0,0,1,0
1,1368.77,1388.13,1368.77,1387.56,547368832.0,2012-04-12,75.0,0.11,Positive,2012,4,12,0,0,1,1
2,1387.61,1387.61,1369.85,1370.26,631237824.0,2012-04-13,73.0,0.0,Neutral,2012,4,13,0,1,0,0
3,1370.27,1379.66,1365.38,1369.57,596952128.0,2012-04-16,188.5,0.13,Positive,2012,4,16,0,0,1,0
4,1369.57,1392.76,1369.57,1390.78,566529216.0,2012-04-17,235.52941176470588,0.1,Positive,2012,4,17,0,0,1,1
5,1385.08,1390.46,1370.3,1376.92,676165120.0,2012-04-19,93.5,-0.030000000000000013,Negative,2012,4,19,1,0,0,0
6,1376.96,1387.4,1376.96,1378.53,820550304.0,2012-04-20,52.0,0.13,Positive,2012,4,20,0,0,1,1
7,1378.53,1378.53,1358.79,1366.94,642154880.0,2012-04-23,199.0,-0.01,Negative,2012,4,23,1,0,0,0
8,1366.97,1375.57,1366.82,1371.97,617978304.0,2012-04-24,146.6153846153846,0.01,Positive,2012,4,24,0,0,1,1
9,1372.11,1391.37,1372.11,1390.69,641079296.0,2012-04-25,150.2962962962963,0.11,Positive,2012,4,25,0,0,1,1
10,1390.64,1402.09,1387.28,1399.98,599315072.0,2012-04-26,129.15,0.12,Positive,2012,4,26,0,0,1,1
11,1400.19,1406.64,1397.31,1403.36,582286784.0,2012-04-27,121.45454545454544,0.09,Positive,2012,4,27,0,0,1,1
12,1403.26,1403.26,1394.0,1397.91,614539008.0,2012-04-30,194.5,0.13,Positive,2012,4,30,0,0,1,0
13,1397.86,1415.32,1395.73,1405.82,573667392.0,2012-05-01,303.2105263157895,0.13,Positive,2012,5,1,0,0,1,1
14,1405.5,1405.5,1393.92,1402.31,554809216.0,2012-05-02,217.2142857142857,0.09,Positive,2012,5,2,0,0,1,0
15,1402.32,1403.07,1388.71,1391.57,589986496.0,2012-05-03,188.16666666666663,0.06,Positive,2012,5,3,0,0,1,0
16,1391.51,1391.51,1367.96,1369.1,596064384.0,2012-05-04,183.7,0.02,Positive,2012,5,4,0,0,1,0
17,1368.79,1373.91,1363.94,1369.58,586001024.0,2012-05-07,261.7586206896552,0.1,Positive,2012,5,7,0,0,1,1
18,1369.16,1369.16,1347.75,1363.72,690165824.0,2012-05-08,154.83157894736843,0.08,Positive,2012,5,8,0,0,1,0
19,1363.2,1363.73,1343.13,1354.58,728912384.0,2012-05-09,207.8370786516854,0.09,Positive,2012,5,9,0,0,1,0
20,1354.58,1365.88,1354.58,1357.99,657005824.0,2012-05-10,145.32432432432432,0.1,Positive,2012,5,10,0,0,1,1
21,1358.11,1365.66,1348.89,1353.39,627982912.0,2012-05-11,186.72222222222223,0.06,Positive,2012,5,11,0,0,1,0
22,1351.93,1351.93,1336.61,1338.35,641538624.0,2012-05-14,366.1525423728813,0.1,Positive,2012,5,14,0,0,1,0
23,1338.36,1344.94,1328.41,1330.66,665603904.0,2012-05-15,158.09459459459458,0.12,Positive,2012,5,15,0,0,1,0
24,1330.78,1341.78,1324.79,1324.8,677159424.0,2012-05-16,280.16279069767444,0.11,Positive,2012,5,16,0,0,1,0
25,1324.82,1326.36,1304.86,1304.86,693854080.0,2012-05-17,134.13725490196077,0.06,Positive,2012,5,17,0,0,1,0
26,1305.05,1312.24,1291.98,1295.22,820550304.0,2012-05-18,127.64615384615384,0.06,Positive,2012,5,18,0,0,1,0
27,1295.73,1316.39,1295.73,1315.99,660701824.0,2012-05-21,215.1190476190476,0.06,Positive,2012,5,21,0,0,1,1
28,1316.09,1328.49,1310.04,1316.63,649988224.0,2012-05-22,193.77777777777777,0.11,Positive,2012,5,22,0,0,1,1
